team_id,team_display_name,cust_id,display_name,race_count,old_classification,total_time,avg_speed,percentage,new_classification,deadzone,reclassified,driven,gold_race_count,gold_total_drive_time,gold_total_sesion_time,gold_total_percentage,index,total_index,total_session_time
-159910,Austrian Simracers Red,347495,Marko Zeiler,1,Gold,5701.9193000000005,206.5255056539295,26.0,Gold,False,False,False,1,5701.92,21539.16,26.0,0,0,21539.1573
-159910,Austrian Simracers Red,420543,Pascal Haß,1,Gold,5235.118,206.1957570796303,24.0,Gold,False,False,False,1,5235.12,21539.16,24.0,0,0,21539.1573
-110547,Carbono eSports,633220,Gerard Sardeny Saez,1,Gold,5982.070500000001,205.0557729535284,28.0,Gold,False,False,False,1,5982.07,21539.16,28.0,0,0,21539.1573
-258771,PROTOSIM #2,775547,André Rosa,1,Silver,5746.1353,204.93631025889692,27.0,Gold,False,True,False,1,5746.14,21539.16,27.0,0,0,21539.1573
-110547,Carbono eSports,626532,Bruno Ciccioli,1,Gold,8627.4187,204.74115275587587,40.0,Gold,False,False,False,1,8627.42,21539.16,40.0,0,0,21539.1573
-175849,Maniti Racing Yellow,314054,Jan-Eike Zanders,1,Silver,7690.5607,204.16227330566417,36.0,Gold,False,True,False,1,7690.56,21539.16,36.0,0,0,21539.1573
-96989,Chicane Online Racing Red,310170,Alex Gal,1,Gold,10818.9204,204.0854799552828,50.0,Gold,False,False,False,1,10818.92,21539.16,50.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,667770,Pedro Daniel Paquete,1,Gold,5780.4258,203.72059211112096,27.0,Gold,False,False,False,1,5780.43,21539.16,27.0,0,0,21539.1573
-302748,Platinum Racing Team White,373409,Sek-Yin Ho,1,Gold,6749.1326,203.5605377006225,31.0,Gold,False,False,False,1,6749.13,21539.16,31.0,0,0,21539.1573
-302748,Platinum Racing Team White,662261,David Flores M. Pires,1,Silver,7724.8364,203.2563894178005,36.0,Gold,False,True,False,1,7724.84,21539.16,36.0,0,0,21539.1573
-257830,SR TECHNIC,491790,Sérgio Vieira,1,Gold,6041.8291,203.02760470997103,28.0,Gold,True,False,False,1,6041.83,21539.16,28.0,0,0,21539.1573
-159910,Austrian Simracers Red,409965,Thomas Pieber,1,Gold,7259.3463,202.77166117395447,34.0,Gold,True,False,False,1,7259.35,21539.16,34.0,0,0,21539.1573
-257829,SR TECHNIC #PEC,201606,Manuel M Cruz,1,Silver,5330.8432,202.4931289314981,25.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,676270,Cassio Medeiros,1,Gold,5573.4239,202.4833321974308,26.0,Gold,True,False,False,1,5573.42,21539.16,26.0,0,0,21539.1573
-140651,Chicane Online Racing Orange,579208,Thomas Burling,1,Silver,8481.6319,202.47534278586176,39.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-272629,Platinum Racing Team red,370322,Myles Owens,1,Silver,5336.410699999999,202.28186698808625,25.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-243021,Elite Racing Team,675666,Claus Christensen,1,Silver,5338.670999999999,202.19622438078693,25.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-252527,Krips Racing Blue,831421,Christian Hindsch,1,Silver,5581.9126,202.1754054373406,26.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-159911,Austrian Simracers Blue,580583,Benedikt Hochleitner,1,Silver,6797.6392000000005,202.1079702301352,32.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-140651,Chicane Online Racing Orange,392848,Ingmar Hamberg,1,Silver,10447.887599999998,201.9405257779381,49.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,380755,Pedro T Martins,1,Gold,9482.2047,201.80819559552432,44.0,Gold,True,False,False,1,9482.2,21539.16,44.0,0,0,21539.1573
-299638,Ingersoll Rand Enosis eSports #215,273285,Ale G Torres,1,Gold,5836.3245,201.76941268951035,27.0,Gold,True,False,False,1,5836.32,21539.16,27.0,0,0,21539.1573
-62993,Fury Simsport Academy,656823,Rink Wilbrink3,1,Silver,11680.712,201.63013464083355,54.0,Silver,True,False,False,0,0.0,0.0,0.0,0,0,21539.1573
