team_id,team_display_name,cust_id,display_name,race_count,old_classification,total_time,avg_speed,percentage,new_classification,deadzone,reclassified,driven,gold_race_count,gold_total_drive_time,gold_total_sesion_time,gold_total_percentage,index,total_index,total_session_time
-159910,Austrian Simracers Red,347495,Marko Zeiler,1,Gold,5701.9193000000005,206.5255056539295,26.0,Gold,False,False,True,1,5701.92,21539.16,26.0,0,0,21539.1573
-159910,Austrian Simracers Red,420543,Pascal Haß,1,Gold,5235.118,206.1957570796303,24.0,Gold,False,False,True,1,5235.12,21539.16,24.0,0,0,21539.1573
-96989,Chicane Online Racing Red,366403,Nils Corr,1,Gold,8590.3598,205.6244081820182,40.0,Gold,False,False,True,1,8590.36,21539.16,40.0,0,0,21539.1573
-129672,LEO RACING TEAM #208,607475,Lorenzo Castellani,1,Gold,5490.1569,205.55431540049432,25.0,Gold,False,False,True,1,5490.16,21539.16,25.0,0,0,21539.1573
-247532,Krips Racing Green,275038,Christian Glåmseter,1,Gold,5499.706,205.1974129200361,26.0,Gold,False,False,True,1,5499.71,21539.16,26.0,0,0,21539.1573
-62993,Fury Simsport Academy,722391,Matthew Luke Sr,1,Silver,3108.7335000000003,205.18394610692744,14.0,Gold,False,True,True,1,3108.73,21539.16,14.0,0,0,21539.1573
-62993,Fury Simsport Academy,81643,Bryan Krauss,1,Gold,3109.9475,205.10385044274864,14.0,Gold,False,False,True,1,3109.95,21539.16,14.0,0,0,21539.1573
-110547,Carbono eSports,633220,Gerard Sardeny Saez,1,Gold,5982.070500000001,205.0557729535284,28.0,Gold,False,False,True,1,5982.07,21539.16,28.0,0,0,21539.1573
-223528,SimVision,339819,Joao Reis,1,Gold,3111.3711,205.0100056932457,14.0,Gold,False,False,True,1,3111.37,21539.16,14.0,0,0,21539.1573
-62993,Fury Simsport Academy,651954,Cade Middleton,1,Silver,2872.1757,204.999952932963,13.0,Gold,False,True,True,1,2872.18,21539.16,13.0,0,0,21539.1573
-258771,PROTOSIM #2,775547,André Rosa,1,Silver,5746.1353,204.93631025889695,27.0,Gold,False,True,True,1,5746.14,21539.16,27.0,0,0,21539.1573
-110547,Carbono eSports,626532,Bruno Ciccioli,1,Gold,8627.4187,204.74115275587587,40.0,Gold,False,False,True,1,8627.42,21539.16,40.0,0,0,21539.1573
-299638,Ingersoll Rand Enosis eSports #215,606742,Raul Ontañon,1,Gold,8632.380799999999,204.62346261944333,40.0,Gold,False,False,True,1,8632.38,21539.16,40.0,0,0,21539.1573
-129653,Octopus Racing Team,649681,Joselu Otero,1,Gold,11271.212700000002,204.60240357731868,52.0,Gold,False,False,True,1,11271.21,21539.16,52.0,0,0,21539.1573
-286482,Kairos eSports #229,211521,Théo Pastaga,1,Gold,8640.314499999999,204.43557349047887,40.0,Gold,False,False,True,1,8640.31,21539.16,40.0,0,0,21539.1573
-257830,SR TECHNIC,530634,Nuno Vinagre,1,Gold,8160.604,204.42788336824088,38.0,Gold,False,False,True,1,8160.6,21539.16,38.0,0,0,21539.1573
-299638,Ingersoll Rand Enosis eSports #215,593886,Jorge Sánchez Rodríguez,1,Gold,6248.5202,204.16424577607992,29.0,Gold,False,False,True,1,6248.52,21539.16,29.0,0,0,21539.1573
-175849,Maniti Racing Yellow,314054,Jan-Eike Zanders,1,Silver,7690.5607,204.16227330566417,36.0,Gold,False,True,True,1,7690.56,21539.16,36.0,0,0,21539.1573
-96989,Chicane Online Racing Red,310170,Alex Gal,1,Gold,10818.9204,204.0854799552828,50.0,Gold,False,False,True,1,10818.92,21539.16,50.0,0,0,21539.1573
-299312,CM x MSi Gaming GT3,732337,Davide De Marco2,1,Silver,2886.7724,203.96338946402568,13.0,Gold,False,True,True,1,2886.77,21539.16,13.0,0,0,21539.1573
-129672,LEO RACING TEAM #208,443123,Alessio Bernardini,1,Gold,14924.3029,203.83612448627,69.0,Gold,False,False,True,1,14924.3,21539.16,69.0,0,0,21539.1573
-278379,Platinum Racing Team Orange,416545,Martin Hobson,1,Silver,8428.1977,203.7590226835804,39.0,Gold,False,True,True,1,8428.2,21539.16,39.0,0,0,21539.1573
-252527,Krips Racing Blue,614536,Louis Greig,1,Silver,4816.767599999999,203.73133056948816,22.0,Gold,False,True,True,1,4816.77,21539.16,22.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,667770,Pedro Daniel Paquete,1,Gold,5780.4258,203.72059211112096,27.0,Gold,False,False,True,1,5780.43,21539.16,27.0,0,0,21539.1573
-129653,Octopus Racing Team,365305,Davo Ramos,1,Gold,8671.515,203.7000051254712,40.0,Gold,False,False,True,1,8671.51,21539.16,40.0,0,0,21539.1573
-223528,SimVision,465352,Filipe RC Barreto,1,Gold,17827.248199999998,203.6718121818936,83.0,Gold,False,False,True,1,17827.25,21539.16,83.0,0,0,21539.1573
-302748,Platinum Racing Team White,373409,Sek-Yin Ho,1,Gold,6749.1326,203.5605377006225,31.0,Gold,False,False,True,1,6749.13,21539.16,31.0,0,0,21539.1573
-264062,Team Upstate GT3,376880,Shawn Crowley2,1,Silver,4581.0806,203.50223669550803,21.0,Gold,False,True,True,1,4581.08,21539.16,21.0,0,0,21539.1573
-264062,Team Upstate GT3,671627,Justin Cole6,1,Silver,3617.4068,203.45924438025608,17.0,Gold,False,True,True,1,3617.41,21539.16,17.0,0,0,21539.1573
-302748,Platinum Racing Team White,662261,David Flores M. Pires,1,Silver,7724.8364,203.2563894178005,36.0,Gold,False,True,True,1,7724.84,21539.16,36.0,0,0,21539.1573
-257829,SR TECHNIC #PEC,515776,Rui Filipe Pinheiro,1,Silver,8208.0455,203.2463151826339,38.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-286482,Kairos eSports #229,462694,David Prevautel,1,Gold,11841.5224,203.0355367879387,55.0,Gold,True,False,True,1,11841.52,21539.16,55.0,0,0,21539.1573
-257830,SR TECHNIC,491790,Sérgio Vieira,1,Gold,6041.8291,203.02760470997103,28.0,Gold,True,False,True,1,6041.83,21539.16,28.0,0,0,21539.1573
-110547,Carbono eSports,364474,Rubens Llorente,1,Gold,6770.4604,202.9192964585983,31.0,Gold,True,False,True,1,6770.46,21539.16,31.0,0,0,21539.1573
-258771,PROTOSIM #2,796249,Guilherme Costa Reis,1,Silver,7498.9578,202.83565696257156,35.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-159910,Austrian Simracers Red,409965,Thomas Pieber,1,Gold,7259.3463,202.77166117395447,34.0,Gold,True,False,True,1,7259.35,21539.16,34.0,0,0,21539.1573
-280178,Trackside Esports,662411,Peppe Kerstens,1,Silver,8480.6723,202.498253155708,39.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-257829,SR TECHNIC #PEC,201606,Manuel M Cruz,1,Silver,5330.8432,202.49312893149812,25.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-134184,GROW RACING TEAM RED,676270,Cassio Medeiros,1,Gold,5573.4239,202.4833321974308,26.0,Gold,True,False,True,1,5573.42,21539.16,26.0,0,0,21539.1573
-140651,Chicane Online Racing Orange,579208,Thomas Burling,1,Silver,8481.6319,202.47534278586176,39.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-218497,Blue Chip Racing,435833,Nicholas Larsen,1,Gold,9693.602900000002,202.46888227534055,45.0,Gold,True,False,True,1,9693.6,21539.16,45.0,0,0,21539.1573
-272629,Platinum Racing Team red,370322,Myles Owens,1,Silver,5336.410699999999,202.28186698808625,25.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-243021,Elite Racing Team,675666,Claus Christensen,1,Silver,5338.670999999999,202.19622438078693,25.0,Silver,True,False,True,0,0.0,0.0,0.0,0,0,21539.1573
-247532,Krips Racing Green,813496,Emre Kemaldar,1,Gold,11648.9908,202.17919077254317,54.0,Gold,True,False,True,1,11648.99,21539.16,54.0,0,0,21539.1573
